model,horizon,obs,mean_cov_50,mean_cov_95
JHU_UNC_GAS-StatMechPool,2,459,0.41612200435729846,0.6514161220043573
JHU_UNC_GAS-StatMechPool,3,459,0.37037037037037035,0.5708061002178649
JHU_UNC_GAS-StatMechPool,4,459,0.31808278867102396,0.5337690631808278
JHUAPL-Bucky,1,513,0.3645224171539961,0.7115009746588694
JHUAPL-Bucky,2,513,0.2124756335282651,0.5263157894736842
JHUAPL-Bucky,3,513,0.17543859649122806,0.4678362573099415
JHUAPL-Bucky,4,513,0.15594541910331383,0.43664717348927873
Karlen-pypm,1,477,0.48427672955974843,0.9308176100628931
Karlen-pypm,2,477,0.31236897274633124,0.7568134171907757
Karlen-pypm,3,477,0.22851153039832284,0.589098532494759
Karlen-pypm,4,477,0.18867924528301888,0.5136268343815513
KITmetricslab-select_ensemble,1,468,0.4893162393162393,0.8952991452991453
KITmetricslab-select_ensemble,2,468,0.2606837606837607,0.7264957264957265
KITmetricslab-select_ensemble,3,468,0.19658119658119658,0.6260683760683761
KITmetricslab-select_ensemble,4,468,0.08547008547008547,0.3974358974358974
LANL-GrowthRate,1,503,0.26043737574552683,0.7534791252485089
LANL-GrowthRate,2,503,0.21669980119284293,0.562624254473161
LANL-GrowthRate,3,501,0.17564870259481039,0.4870259481037924
LANL-GrowthRate,4,499,0.1683366733466934,0.4248496993987976
Microsoft-DeepSTIA,1,468,0.30982905982905984,0.7264957264957265
Microsoft-DeepSTIA,2,468,0.3547008547008547,0.7435897435897436
Microsoft-DeepSTIA,3,468,0.21581196581196582,0.6217948717948718
Microsoft-DeepSTIA,4,468,0.2329059829059829,0.6196581196581197
MIT_ISOLAT-Mixtures,1,367,0.3787465940054496,0.6757493188010899
MIT_ISOLAT-Mixtures,2,360,0.2111111111111111,0.3972222222222222
MIT_ISOLAT-Mixtures,3,358,0.09776536312849161,0.2737430167597765
MIT_ISOLAT-Mixtures,4,361,0.0664819944598338,0.1745152354570637
MIT-Cassandra,1,441,0.5759637188208617,0.9002267573696145
MIT-Cassandra,2,441,0.1836734693877551,0.48072562358276644
MIT-Cassandra,3,441,0.1360544217687075,0.32653061224489793
MIT-Cassandra,4,441,0.1473922902494331,0.28798185941043086
MOBS-GLEAM_COVID,1,459,0.48366013071895425,0.8257080610021786
MOBS-GLEAM_COVID,2,459,0.28322440087145967,0.6122004357298475
MOBS-GLEAM_COVID,3,459,0.19172113289760348,0.47276688453159044
MOBS-GLEAM_COVID,4,459,0.11982570806100218,0.3616557734204793
MUNI-ARIMA,1,467,0.25910064239828695,0.6638115631691649
MUNI-ARIMA,2,467,0.2569593147751606,0.6531049250535332
MUNI-ARIMA,3,468,0.25,0.6666666666666666
MUNI-ARIMA,4,468,0.24358974358974358,0.6773504273504274
RobertWalraven-ESG,1,511,0.136986301369863,0.3698630136986301
RobertWalraven-ESG,2,511,0.11350293542074363,0.2837573385518591
RobertWalraven-ESG,3,511,0.1506849315068493,0.27788649706457924
RobertWalraven-ESG,4,510,0.1568627450980392,0.30392156862745096
UChicagoCHATTOPADHYAY-UnIT,1,312,0.00641025641025641,0.01282051282051282
UChicagoCHATTOPADHYAY-UnIT,2,312,0.016025641025641024,0.060897435897435896
UCLA-SuEIR,1,212,0.13679245283018868,0.41509433962264153
UCLA-SuEIR,2,265,0.16226415094339622,0.41132075471698115
UCLA-SuEIR,3,319,0.13166144200626959,0.3981191222570533
UCLA-SuEIR,4,373,0.12332439678284182,0.3726541554959786
UMich-RidgeTfReg,1,392,0.19642857142857142,0.49489795918367346
UMich-RidgeTfReg,2,392,0.13520408163265307,0.40816326530612246
UMich-RidgeTfReg,3,393,0.14249363867684478,0.35877862595419846
UMich-RidgeTfReg,4,443,0.12641083521444696,0.3544018058690745
USC-SI_kJalpha,1,510,0.3862745098039216,0.5901960784313726
USC-SI_kJalpha,2,509,0.34970530451866405,0.5304518664047151
USC-SI_kJalpha,3,507,0.28994082840236685,0.4635108481262327
USC-SI_kJalpha,4,506,0.22332015810276679,0.41699604743083
UVA-Ensemble,1,468,0.5235042735042735,0.8803418803418803
UVA-Ensemble,2,468,0.2863247863247863,0.6196581196581197
UVA-Ensemble,3,468,0.16880341880341881,0.41452991452991456
UVA-Ensemble,4,468,0.14957264957264957,0.3076923076923077
