model,horizon,obs,mean_cov_50,mean_cov_95
BPagano-RtDriven,1,477,0.5073375262054507,0.8280922431865828
BPagano-RtDriven,2,477,0.36268343815513626,0.689727463312369
BPagano-RtDriven,3,477,0.27044025157232704,0.5303983228511531
BPagano-RtDriven,4,477,0.1719077568134172,0.3689727463312369
CEID-Walk,1,513,0.18323586744639375,0.3586744639376218
CEID-Walk,2,513,0.1871345029239766,0.290448343079922
CEID-Walk,3,513,0.20077972709551656,0.31189083820662766
CEID-Walk,4,513,0.2046783625730994,0.3313840155945419
Covid19Sim-Simulator,1,265,0.06792452830188679,0.1509433962264151
Covid19Sim-Simulator,2,265,0.09056603773584905,0.2339622641509434
Covid19Sim-Simulator,3,318,0.10377358490566038,0.2861635220125786
Covid19Sim-Simulator,4,318,0.11635220125786164,0.27358490566037735
CovidAnalytics-DELPHI,1,468,0.21367521367521367,0.4893162393162393
CovidAnalytics-DELPHI,2,468,0.1388888888888889,0.36538461538461536
CovidAnalytics-DELPHI,3,468,0.07692307692307693,0.3034188034188034
CovidAnalytics-DELPHI,4,468,0.07905982905982906,0.24572649572649571
COVIDhub-baseline,1,513,0.33723196881091616,0.9161793372319688
COVIDhub-baseline,2,513,0.36257309941520466,0.8576998050682261
COVIDhub-baseline,3,513,0.38596491228070173,0.8089668615984406
COVIDhub-baseline,4,513,0.4093567251461988,0.797270955165692
COVIDhub-ensemble,1,513,0.3391812865497076,0.8304093567251462
COVIDhub-ensemble,2,513,0.2826510721247563,0.6198830409356725
COVIDhub-ensemble,3,513,0.23976608187134502,0.49707602339181284
COVIDhub-ensemble,4,513,0.17543859649122806,0.41325536062378165
CU-select,1,468,0.1047008547008547,0.42735042735042733
CU-select,2,468,0.13247863247863248,0.41025641025641024
CU-select,3,468,0.10897435897435898,0.3418803418803419
CU-select,4,468,0.07905982905982906,0.25427350427350426
IEM_MED-CovidProject,1,494,0.3340080971659919,0.8238866396761133
IEM_MED-CovidProject,2,494,0.2732793522267207,0.6659919028340081
IEM_MED-CovidProject,3,494,0.25101214574898784,0.6153846153846154
IEM_MED-CovidProject,4,494,0.18421052631578946,0.5161943319838057
JHU_CSSE-DECOM,1,511,0.3268101761252446,0.8532289628180039
JHU_CSSE-DECOM,2,511,0.2172211350293542,0.5733855185909981
JHU_CSSE-DECOM,3,511,0.14481409001956946,0.4070450097847358
JHU_CSSE-DECOM,4,510,0.10588235294117647,0.30980392156862746
JHU_IDD-CovidSP,1,487,0.3080082135523614,0.944558521560575
JHU_IDD-CovidSP,2,490,0.20408163265306123,0.8857142857142857
JHU_IDD-CovidSP,3,491,0.109979633401222,0.8126272912423625
JHU_IDD-CovidSP,4,493,0.036511156186612576,0.7018255578093306
JHU_UNC_GAS-StatMechPool,1,459,0.3877995642701525,0.7450980392156863
