model,sat_fcast_week,n_loc,n_weeks_submit_forecast,n_quant
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-19,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
AIpert-pwllnod,2020-12-26,56,19,1
