model,timezero,v1_github_timestamp,v2_github_timestamp,v3_github_timestamp,in_zoltar,v2_diff_hrs,v3_diff_hrs,last_submission_timestamp
AIpert-pwllnod,2020-12-21,2020-12-23T15:17:43Z,NA,NA,v1,NA,NA,2020-12-23T15:17:43Z
AIpert-pwllnod,2020-12-21,2020-12-23T15:17:43Z,NA,NA,v1,NA,NA,2020-12-23T15:17:43Z
AIpert-pwllnod,2020-12-28,2020-12-29T12:26:15Z,NA,NA,v1,NA,NA,2020-12-29T12:26:15Z
AIpert-pwllnod,2020-12-28,2020-12-29T12:26:15Z,NA,NA,v1,NA,NA,2020-12-29T12:26:15Z
AIpert-pwllnod,2021-01-04,2021-01-05T13:02:18Z,NA,NA,v1,NA,NA,2021-01-05T13:02:18Z
AIpert-pwllnod,2021-01-04,2021-01-05T13:02:18Z,NA,NA,v1,NA,NA,2021-01-05T13:02:18Z
AIpert-pwllnod,2021-01-11,2021-01-12T12:58:03Z,NA,NA,v1,NA,NA,2021-01-12T12:58:03Z
AIpert-pwllnod,2021-01-11,2021-01-12T12:58:03Z,NA,NA,v1,NA,NA,2021-01-12T12:58:03Z
AIpert-pwllnod,2021-01-18,2021-01-19T14:04:59Z,NA,NA,v1,NA,NA,2021-01-19T14:04:59Z
AIpert-pwllnod,2021-01-18,2021-01-19T14:04:59Z,NA,NA,v1,NA,NA,2021-01-19T14:04:59Z
AIpert-pwllnod,2021-01-25,2021-01-26T13:44:44Z,NA,NA,v1,NA,NA,2021-01-26T13:44:44Z
AIpert-pwllnod,2021-01-25,2021-01-26T13:44:44Z,NA,NA,v1,NA,NA,2021-01-26T13:44:44Z
AIpert-pwllnod,2021-02-01,2021-02-02T11:57:29Z,NA,NA,v1,NA,NA,2021-02-02T11:57:29Z
AIpert-pwllnod,2021-02-01,2021-02-02T11:57:29Z,NA,NA,v1,NA,NA,2021-02-02T11:57:29Z
AIpert-pwllnod,2021-02-08,2021-02-08T21:20:55Z,NA,NA,v1,NA,NA,2021-02-08T21:20:55Z
AIpert-pwllnod,2021-02-08,2021-02-08T21:20:55Z,NA,NA,v1,NA,NA,2021-02-08T21:20:55Z
AIpert-pwllnod,2021-02-15,2021-02-15T21:11:57Z,NA,NA,v1,NA,NA,2021-02-15T21:11:57Z
AIpert-pwllnod,2021-02-15,2021-02-15T21:11:57Z,NA,NA,v1,NA,NA,2021-02-15T21:11:57Z
AIpert-pwllnod,2021-02-22,2021-02-22T19:28:57Z,NA,NA,v1,NA,NA,2021-02-22T19:28:57Z
AIpert-pwllnod,2021-02-22,2021-02-22T19:28:57Z,NA,NA,v1,NA,NA,2021-02-22T19:28:57Z
AIpert-pwllnod,2021-03-01,2021-03-01T13:49:21Z,2021-03-01T14:13:42Z,2021-03-01T23:23:14Z,v3,0.405833333333333,9.15888888888889,2021-03-01T23:23:14Z
AIpert-pwllnod,2021-03-01,2021-03-01T13:49:21Z,2021-03-01T14:13:42Z,2021-03-01T23:23:14Z,v3,0.405833333333333,9.15888888888889,2021-03-01T23:23:14Z
AIpert-pwllnod,2021-03-08,2021-03-08T20:22:08Z,NA,NA,v1,NA,NA,2021-03-08T20:22:08Z
AIpert-pwllnod,2021-03-08,2021-03-08T20:22:08Z,NA,NA,v1,NA,NA,2021-03-08T20:22:08Z
AIpert-pwllnod,2021-03-15,2021-03-15T20:02:45Z,NA,NA,v1,NA,NA,2021-03-15T20:02:45Z
AIpert-pwllnod,2021-03-15,2021-03-15T20:02:45Z,NA,NA,v1,NA,NA,2021-03-15T20:02:45Z
AIpert-pwllnod,2021-03-22,2021-03-22T20:31:07Z,NA,NA,v1,NA,NA,2021-03-22T20:31:07Z
AIpert-pwllnod,2021-03-22,2021-03-22T20:31:07Z,NA,NA,v1,NA,NA,2021-03-22T20:31:07Z
AIpert-pwllnod,2021-03-29,2021-03-29T21:03:45Z,NA,NA,v1,NA,NA,2021-03-29T21:03:45Z
AIpert-pwllnod,2021-03-29,2021-03-29T21:03:45Z,NA,NA,v1,NA,NA,2021-03-29T21:03:45Z
AIpert-pwllnod,2021-04-05,2021-04-05T21:36:55Z,NA,NA,v1,NA,NA,2021-04-05T21:36:55Z
AIpert-pwllnod,2021-04-05,2021-04-05T21:36:55Z,NA,NA,v1,NA,NA,2021-04-05T21:36:55Z
AIpert-pwllnod,2021-04-12,2021-04-12T21:47:18Z,NA,NA,v1,NA,NA,2021-04-12T21:47:18Z
AIpert-pwllnod,2021-04-12,2021-04-12T21:47:18Z,NA,NA,v1,NA,NA,2021-04-12T21:47:18Z
AIpert-pwllnod,2021-04-19,2021-04-19T22:29:21Z,NA,NA,v1,NA,NA,2021-04-19T22:29:21Z
AIpert-pwllnod,2021-04-19,2021-04-19T22:29:21Z,NA,NA,v1,NA,NA,2021-04-19T22:29:21Z
AIpert-pwllnod,2021-04-26,2021-04-26T18:58:18Z,NA,NA,v1,NA,NA,2021-04-26T18:58:18Z
AIpert-pwllnod,2021-04-26,2021-04-26T18:58:18Z,NA,NA,v1,NA,NA,2021-04-26T18:58:18Z
AIpert-pwllnod,2021-05-03,2021-05-03T20:51:24Z,NA,NA,v1,NA,NA,2021-05-03T20:51:24Z
AIpert-pwllnod,2021-05-03,2021-05-03T20:51:24Z,NA,NA,v1,NA,NA,2021-05-03T20:51:24Z
AIpert-pwllnod,2021-05-10,2021-05-10T22:25:58Z,NA,NA,v1,NA,NA,2021-05-10T22:25:58Z
AIpert-pwllnod,2021-05-10,2021-05-10T22:25:58Z,NA,NA,v1,NA,NA,2021-05-10T22:25:58Z
AIpert-pwllnod,2021-05-17,2021-05-17T21:38:03Z,NA,NA,v1,NA,NA,2021-05-17T21:38:03Z
AIpert-pwllnod,2021-05-17,2021-05-17T21:38:03Z,NA,NA,v1,NA,NA,2021-05-17T21:38:03Z
AIpert-pwllnod,2021-05-24,2021-05-24T21:57:14Z,NA,NA,v1,NA,NA,2021-05-24T21:57:14Z
AIpert-pwllnod,2021-05-24,2021-05-24T21:57:14Z,NA,NA,v1,NA,NA,2021-05-24T21:57:14Z
AIpert-pwllnod,2021-05-31,2021-05-31T21:56:23Z,NA,NA,v1,NA,NA,2021-05-31T21:56:23Z
AIpert-pwllnod,2021-05-31,2021-05-31T21:56:23Z,NA,NA,v1,NA,NA,2021-05-31T21:56:23Z
AIpert-pwllnod,2021-06-07,2021-06-07T21:53:48Z,NA,NA,v1,NA,NA,2021-06-07T21:53:48Z
AIpert-pwllnod,2021-06-07,2021-06-07T21:53:48Z,NA,NA,v1,NA,NA,2021-06-07T21:53:48Z
AIpert-pwllnod,2021-06-14,2021-06-14T21:46:40Z,NA,NA,v1,NA,NA,2021-06-14T21:46:40Z
AIpert-pwllnod,2021-06-14,2021-06-14T21:46:40Z,NA,NA,v1,NA,NA,2021-06-14T21:46:40Z
AIpert-pwllnod,2021-06-21,2021-06-21T21:52:06Z,NA,NA,v1,NA,NA,2021-06-21T21:52:06Z
AIpert-pwllnod,2021-06-21,2021-06-21T21:52:06Z,NA,NA,v1,NA,NA,2021-06-21T21:52:06Z
AIpert-pwllnod,2021-06-28,2021-06-28T22:19:09Z,NA,NA,v1,NA,NA,2021-06-28T22:19:09Z
AIpert-pwllnod,2021-06-28,2021-06-28T22:19:09Z,NA,NA,v1,NA,NA,2021-06-28T22:19:09Z
