model,timezero,target_end_date_1wk_ahead,target_group,num_units_eligible,v1_github_timestamp,v2_github_timestamp,v3_github_timestamp,in_zoltar
UMass-MechBayes,5/17/20,5/23/20,inc,51,05/18/20-17:59:18,,,v1
UMass-MechBayes,5/24/20,5/30/20,inc,51,05/25/20-18:45:05,,,v1
UMass-MechBayes,5/31/20,6/6/20,inc,51,06/01/20-15:47:56,06/17/20-16:14:26,06/18/20-22:38:23,v3
UMass-MechBayes,6/7/20,6/13/20,inc,51,06/08/20-17:53:40,,,v1
UMass-MechBayes,6/14/20,6/20/20,inc,51,06/15/20-15:36:48,,,v1
UMass-MechBayes,6/21/20,6/27/20,inc,51,06/22/20-17:28:45,,,v1
UMass-MechBayes,6/28/20,7/4/20,inc,51,06/29/20-18:13:47,,,v1
UMass-MechBayes,7/5/20,7/11/20,inc,51,07/07/20-08:59:39,07/15/20-11:51:33,,v1
UMass-MechBayes,7/12/20,7/18/20,inc,51,07/13/20-19:46:47,07/15/20-11:51:33,07/17/20-16:41:11,v3
UMass-MechBayes,7/19/20,7/25/20,inc,51,07/20/20-17:19:20,,,v1
UMass-MechBayes,7/26/20,8/1/20,inc,51,07/27/20-18:18:17,,,v1
UMass-MechBayes,8/2/20,8/8/20,inc,51,08/03/20-13:22:56,,,v1
UMass-MechBayes,8/9/20,8/15/20,inc,51,08/10/20-10:50:55,,,v1
UMass-MechBayes,8/16/20,8/22/20,inc,51,08/17/20-13:04:47,,,v1
UMass-MechBayes,8/23/20,8/29/20,inc,51,08/24/20-11:24:09,,,v1
USACE-ERDC_SEIR,6/1/20,6/6/20,inc,51,06/01/20-17:53:20,06/04/20-15:13:25,,v2
USACE-ERDC_SEIR,6/8/20,6/13/20,inc,51,06/08/20-17:50:59,,,v1
USACE-ERDC_SEIR,6/15/20,6/20/20,inc,51,06/15/20-17:37:25,,,v1
USACE-ERDC_SEIR,6/22/20,6/27/20,inc,51,06/29/20-21:52:10,,,v1
USACE-ERDC_SEIR,6/29/20,7/4/20,inc,51,06/29/20-21:52:10,,,v1
USACE-ERDC_SEIR,7/6/20,7/11/20,inc,51,07/06/20-21:12:01,,,v1
USACE-ERDC_SEIR,7/13/20,7/18/20,inc,51,07/13/20-19:52:16,,,v1
USACE-ERDC_SEIR,7/20/20,7/25/20,inc,51,07/20/20-20:36:59,07/27/20-18:45:54,,v2
USACE-ERDC_SEIR,7/27/20,8/1/20,inc,51,07/27/20-18:45:54,07/28/20-12:18:41,,v2
USACE-ERDC_SEIR,8/3/20,8/8/20,inc,51,08/03/20-19:42:41,,,v1
USACE-ERDC_SEIR,8/10/20,8/15/20,inc,51,08/10/20-18:34:54,,,v1
USACE-ERDC_SEIR,8/17/20,8/22/20,inc,51,08/17/20-17:54:37,,,v1
USACE-ERDC_SEIR,8/24/20,8/29/20,inc,51,08/24/20-18:19:35,,,v1
GT-DeepCOVID,5/25/20,5/30/20,inc,31,05/25/20-19:49:37,,,v1
GT-DeepCOVID,6/1/20,6/6/20,inc,35,06/01/20-17:39:18,,,v1
GT-DeepCOVID,6/8/20,6/13/20,inc,33,06/09/20-15:26:39,,,v1
GT-DeepCOVID,6/15/20,6/20/20,inc,37,06/15/20-15:36:05,,,v1
