model,forecast_date,target_end_date_1wk_ahead,target_group,num_units_eligible,include_overall,seasonal_phase,include_phases
UMass-MechBayes,2021-01-03,2021-01-09,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-01-10,2021-01-16,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-01-17,2021-01-23,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-01-24,2021-01-30,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-01-31,2021-02-06,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-02-07,2021-02-13,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-02-14,2021-02-20,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-02-21,2021-02-27,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-02-28,2021-03-06,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-03-07,2021-03-13,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-03-14,2021-03-20,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-03-21,2021-03-27,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-03-28,2021-04-03,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-04-04,2021-04-10,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-04-11,2021-04-17,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-04-18,2021-04-24,inc,51,TRUE,winter,TRUE
UMass-MechBayes,2021-04-25,2021-05-01,inc,51,TRUE,winter,TRUE
IHME-CurveFit,2020-05-18,2020-05-23,inc,51,TRUE,spring,FALSE
IHME-CurveFit,2020-05-29,2020-06-06,inc,51,TRUE,spring,FALSE
IHME-CurveFit,2020-06-08,2020-06-13,inc,51,TRUE,spring,FALSE
IHME-CurveFit,2020-06-15,2020-06-20,inc,51,TRUE,spring,FALSE
IHME-CurveFit,2020-06-22,2020-06-27,inc,51,TRUE,spring,FALSE
IHME-CurveFit,2020-06-29,2020-07-04,inc,51,TRUE,spring,FALSE
IHME-CurveFit,2020-07-06,2020-07-11,inc,51,TRUE,spring,FALSE
IHME-CurveFit,2020-07-17,2020-07-25,inc,51,TRUE,summer,FALSE
IHME-CurveFit,2020-07-23,2020-08-01,inc,51,TRUE,summer,FALSE
IHME-CurveFit,2020-07-30,2020-08-08,inc,51,TRUE,summer,FALSE
IHME-CurveFit,2020-08-06,2020-08-15,inc,51,TRUE,summer,FALSE
IHME-CurveFit,2020-08-24,2020-08-29,inc,51,TRUE,summer,FALSE
