model,seasonal_phase,n_forecasts,calib_95,calib_50,relative_wis,relative_abs_error
COVIDhub-baseline,spring,2000,0.91,0.5,1,1
GT-DeepCOVID,spring,1026,0.85,0.31,1.02,1.03
JHU_IDD-CovidSP,spring,1400,0.68,0.23,1.87,2.17
MOBS-GLEAM_COVID,spring,1992,0.63,0.32,1.02,0.97
UMass-MechBayes,spring,1600,0.96,0.62,0.67,0.64
UT-Mobility,spring,1950,0.75,0.33,0.84,0.77
YYG-ParamSearch,spring,2000,0.71,0.36,0.61,0.63
CEID-Walk,summer,2997,0.77,0.44,0.99,1.04
CMU-TimeSeries,summer,3552,0.69,0.36,0.82,0.84
Covid19Sim-Simulator,summer,3398,0.27,0.07,0.97,0.8
COVIDhub-baseline,summer,3996,0.83,0.49,1,1
COVIDhub-ensemble,summer,3996,0.87,0.5,0.68,0.75
CU-select,summer,3996,0.86,0.43,0.84,0.95
DDS-NBDS,summer,3396,0.83,0.39,1.23,1.54
epiforecasts-ensemble1,summer,2772,0.82,0.45,1.98,1.01
GT-DeepCOVID,summer,3577,0.81,0.37,0.87,0.95
IowaStateLW-STEM,summer,3645,0.45,0.19,1.14,1.04
JHU_IDD-CovidSP,summer,3996,0.83,0.39,1.06,1.23
Karlen-pypm,summer,3596,0.82,0.44,0.89,0.99
LANL-GrowthRate,summer,3996,0.91,0.4,0.94,1.11
MOBS-GLEAM_COVID,summer,3996,0.7,0.4,1.09,1.03
NotreDame-mobility,summer,3996,0.52,0.25,1.33,1.2
OliverWyman-Navigator,summer,3996,0.84,0.49,0.71,0.75
PSI-DRAFT,summer,3992,0.37,0.16,1.76,1.5
RobertWalraven-ESG,summer,3973,0.08,0.04,1.98,1.52
RPI_UW-Mob_Collision,summer,1845,0.61,0.26,1.52,1.52
SteveMcConnell-CovidComplete,summer,2599,0.82,0.56,0.79,0.91
UA-EpiCovDA,summer,3996,0.69,0.37,0.92,0.98
UCLA-SuEIR,summer,3996,0.19,0.05,1.28,1.05
UMass-MechBayes,summer,3996,0.95,0.57,0.65,0.73
UMich-RidgeTfReg,summer,3235,0.37,0.14,1.51,1.33
USACE-ERDC_SEIR,summer,3196,0.12,0.05,2.14,1.73
UT-Mobility,summer,3397,0.71,0.32,1.55,1.58
YYG-ParamSearch,summer,2796,0.87,0.52,0.64,0.66
BPagano-RtDriven,winter,4587,0.75,0.34,0.74,0.78
CEID-Walk,winter,4437,0.84,0.5,0.93,0.99
CMU-TimeSeries,winter,4587,0.76,0.42,0.77,0.78
Columbia_UNC-SurvCon,winter,3748,0.57,0.33,1.13,1.01
Covid19Sim-Simulator,winter,4587,0.23,0.07,1.03,0.83
CovidAnalytics-DELPHI,winter,4587,0.87,0.51,0.95,0.98
COVIDhub-baseline,winter,4587,0.82,0.4,1,1
COVIDhub-ensemble,winter,4587,0.88,0.48,0.57,0.62
CU-select,winter,4587,0.56,0.28,0.96,0.88
DDS-NBDS,winter,4388,0.86,0.41,1.12,1.49
epiforecasts-ensemble1,winter,4555,0.89,0.45,4.69,4.18
GT-DeepCOVID,winter,4369,0.82,0.39,0.72,0.79
IHME-CurveFit,winter,3589,0.61,0.25,0.7,0.74
IowaStateLW-STEM,winter,4403,0.46,0.19,0.98,0.87
JHU_CSSE-DECOM,winter,4347,0.74,0.3,0.75,0.79
JHU_IDD-CovidSP,winter,4515,0.81,0.38,0.79,0.87
JHUAPL-Bucky,winter,4387,0.62,0.29,1.09,1.1
Karlen-pypm,winter,4587,0.86,0.45,0.58,0.63
LANL-GrowthRate,winter,4587,0.87,0.37,0.75,0.81
Microsoft-DeepSTIA,winter,4187,0.57,0.28,0.84,0.82
MIT_CritData-GBCF,winter,4187,0.03,0.02,1.36,1.02
MIT_ISOLAT-Mixtures,winter,2518,0.52,0.22,1.17,1.16
MOBS-GLEAM_COVID,winter,4587,0.67,0.33,0.69,0.7
OliverWyman-Navigator,winter,4579,0.81,0.41,0.7,0.74
PSI-DRAFT,winter,4571,0.31,0.12,1.38,1.16
RobertWalraven-ESG,winter,4580,0.65,0.39,0.95,0.84
RPI_UW-Mob_Collision,winter,2312,0.51,0.19,1.24,1.19
SteveMcConnell-CovidComplete,winter,4587,0.77,0.44,0.73,0.74
UA-EpiCovDA,winter,4587,0.63,0.33,0.93,0.85
UCLA-SuEIR,winter,3595,0.3,0.09,1.23,1.07
UCSD_NEU-DeepGLEAM,winter,4587,0.89,0.64,0.76,0.73
UMass-MechBayes,winter,4587,0.92,0.54,0.6,0.64
UMich-RidgeTfReg,winter,3880,0.57,0.34,1.21,1.08
USC-SI_kJalpha,winter,4587,0.59,0.28,0.71,0.7
BPagano-RtDriven,delta,4877,0.75,0.42,0.73,0.73
CEID-Walk,delta,4727,0.74,0.41,1.16,1.11
CovidAnalytics-DELPHI,delta,4877,0.83,0.48,0.92,0.94
COVIDhub-baseline,delta,4877,0.95,0.63,1,1
COVIDhub-ensemble,delta,4877,0.94,0.61,0.61,0.66
CU-select,delta,4727,0.76,0.59,0.85,0.81
DDS-NBDS,delta,4477,0.89,0.48,1.54,4.14
epiforecasts-ensemble1,delta,4877,0.89,0.48,0.88,0.92
GT-DeepCOVID,delta,4613,0.88,0.49,0.68,0.74
IEM_MED-CovidProject,delta,4869,0.84,0.4,1.29,1.37
IHME-CurveFit,delta,3930,0.5,0.19,0.87,0.9
JHU_CSSE-DECOM,delta,4643,0.83,0.35,0.71,0.74
JHU_IDD-CovidSP,delta,4259,0.88,0.25,1.4,1.22
JHUAPL-Bucky,delta,4877,0.73,0.36,0.92,0.96
Karlen-pypm,delta,4877,0.9,0.51,0.62,0.66
KITmetricslab-select_ensemble,delta,4877,0.9,0.49,0.61,0.65
LANL-GrowthRate,delta,4377,0.71,0.33,1.06,1.02
Microsoft-DeepSTIA,delta,4578,0.84,0.5,0.72,0.78
MIT_CritData-GBCF,delta,4477,0.04,0.04,1.48,1.1
MIT_ISOLAT-Mixtures,delta,3628,0.39,0.19,1.5,1.33
MIT-Cassandra,delta,4109,0.74,0.42,1.87,1.72
