model,timezero,target_end_date_1wk_ahead,target_group,num_units_eligible
CovidAnalytics-DELPHI,2020-05-04,2020-05-09,cum,51
CovidAnalytics-DELPHI,2020-05-10,2020-05-16,cum,51
CovidAnalytics-DELPHI,2020-05-18,2020-05-23,cum,51
CovidAnalytics-DELPHI,2020-05-25,2020-05-30,cum,51
CovidAnalytics-DELPHI,2020-06-01,2020-06-06,cum,51
CovidAnalytics-DELPHI,2020-06-08,2020-06-13,cum,51
CovidAnalytics-DELPHI,2020-06-15,2020-06-20,cum,51
CovidAnalytics-DELPHI,2020-06-22,2020-06-27,cum,51
CovidAnalytics-DELPHI,2020-06-29,2020-07-04,cum,51
CovidAnalytics-DELPHI,2020-07-06,2020-07-11,cum,51
CovidAnalytics-DELPHI,2020-07-13,2020-07-18,cum,51
CovidAnalytics-DELPHI,2020-07-20,2020-07-25,cum,51
CovidAnalytics-DELPHI,2020-07-27,2020-08-01,cum,51
CovidAnalytics-DELPHI,2020-08-03,2020-08-08,cum,51
CovidAnalytics-DELPHI,2020-08-10,2020-08-15,cum,51
CovidAnalytics-DELPHI,2020-08-17,2020-08-22,cum,51
CovidAnalytics-DELPHI,2020-08-24,2020-08-29,cum,51
UMass-MechBayes,2020-05-03,2020-05-09,cum,50
UMass-MechBayes,2020-05-10,2020-05-16,cum,50
UMass-MechBayes,2020-05-17,2020-05-23,cum,51
UMass-MechBayes,2020-05-24,2020-05-30,cum,51
UMass-MechBayes,2020-05-31,2020-06-06,cum,51
UMass-MechBayes,2020-06-07,2020-06-13,cum,51
UMass-MechBayes,2020-06-14,2020-06-20,cum,51
UMass-MechBayes,2020-06-21,2020-06-27,cum,51
UMass-MechBayes,2020-06-28,2020-07-04,cum,51
UMass-MechBayes,2020-07-05,2020-07-11,cum,51
UMass-MechBayes,2020-07-12,2020-07-18,cum,51
UMass-MechBayes,2020-07-19,2020-07-25,cum,51
UMass-MechBayes,2020-07-26,2020-08-01,cum,51
UMass-MechBayes,2020-08-02,2020-08-08,cum,51
UMass-MechBayes,2020-08-09,2020-08-15,cum,51
UMass-MechBayes,2020-08-16,2020-08-22,cum,51
UMass-MechBayes,2020-08-23,2020-08-29,cum,51
UA-EpiCovDA,2020-05-23,2020-05-30,cum,51
UA-EpiCovDA,2020-05-31,2020-06-06,cum,51
UA-EpiCovDA,2020-06-07,2020-06-13,cum,51
UA-EpiCovDA,2020-06-14,2020-06-20,cum,51
UA-EpiCovDA,2020-06-21,2020-06-27,cum,51
UA-EpiCovDA,2020-06-28,2020-07-04,cum,51
UA-EpiCovDA,2020-07-05,2020-07-11,cum,51
UA-EpiCovDA,2020-07-12,2020-07-18,cum,51
UA-EpiCovDA,2020-07-19,2020-07-25,cum,51
UA-EpiCovDA,2020-07-26,2020-08-01,cum,51
UA-EpiCovDA,2020-08-02,2020-08-08,cum,51
UA-EpiCovDA,2020-08-09,2020-08-15,cum,51
UA-EpiCovDA,2020-08-16,2020-08-22,cum,51
UA-EpiCovDA,2020-08-23,2020-08-29,cum,51
GT-DeepCOVID,2020-05-25,2020-05-30,cum,31
GT-DeepCOVID,2020-06-01,2020-06-06,cum,35
GT-DeepCOVID,2020-06-08,2020-06-13,cum,33
GT-DeepCOVID,2020-06-15,2020-06-20,cum,37
GT-DeepCOVID,2020-06-22,2020-06-27,cum,40
GT-DeepCOVID,2020-06-29,2020-07-04,cum,40
GT-DeepCOVID,2020-07-06,2020-07-11,cum,41
GT-DeepCOVID,2020-07-13,2020-07-18,cum,46
GT-DeepCOVID,2020-07-20,2020-07-25,cum,45
GT-DeepCOVID,2020-07-27,2020-08-01,cum,44
GT-DeepCOVID,2020-08-03,2020-08-08,cum,44
GT-DeepCOVID,2020-08-10,2020-08-15,cum,44
GT-DeepCOVID,2020-08-17,2020-08-22,cum,46
GT-DeepCOVID,2020-08-24,2020-08-29,cum,48
IowaStateLW-STEM,2020-05-17,2020-05-23,cum,49
IowaStateLW-STEM,2020-05-24,2020-05-30,cum,49
IowaStateLW-STEM,2020-05-31,2020-06-06,cum,49
IowaStateLW-STEM,2020-06-07,2020-06-13,cum,49
IowaStateLW-STEM,2020-06-14,2020-06-20,cum,49
IowaStateLW-STEM,2020-06-21,2020-06-27,cum,49
IowaStateLW-STEM,2020-06-28,2020-07-04,cum,49
IowaStateLW-STEM,2020-07-05,2020-07-11,cum,49
IowaStateLW-STEM,2020-07-12,2020-07-18,cum,49
IowaStateLW-STEM,2020-07-19,2020-07-25,cum,49
IowaStateLW-STEM,2020-07-26,2020-08-01,cum,49
IowaStateLW-STEM,2020-08-02,2020-08-08,cum,49
IowaStateLW-STEM,2020-08-16,2020-08-22,cum,49
IowaStateLW-STEM,2020-08-23,2020-08-29,cum,49
COVIDhub-ensemble,2020-05-04,2020-05-09,cum,51
COVIDhub-ensemble,2020-05-11,2020-05-16,cum,51
COVIDhub-ensemble,2020-05-18,2020-05-23,cum,51
COVIDhub-ensemble,2020-05-25,2020-05-30,cum,51
COVIDhub-ensemble,2020-06-01,2020-06-06,cum,51
COVIDhub-ensemble,2020-06-08,2020-06-13,cum,51
COVIDhub-ensemble,2020-06-15,2020-06-20,cum,51
COVIDhub-ensemble,2020-06-22,2020-06-27,cum,51
COVIDhub-ensemble,2020-06-29,2020-07-04,cum,51
COVIDhub-ensemble,2020-07-06,2020-07-11,cum,51
COVIDhub-ensemble,2020-07-13,2020-07-18,cum,51
COVIDhub-ensemble,2020-07-20,2020-07-25,cum,51
COVIDhub-ensemble,2020-07-27,2020-08-01,cum,51
COVIDhub-ensemble,2020-08-03,2020-08-08,cum,51
COVIDhub-ensemble,2020-08-10,2020-08-15,cum,51
COVIDhub-ensemble,2020-08-17,2020-08-22,cum,51
COVIDhub-ensemble,2020-08-24,2020-08-29,cum,51
COVIDhub-baseline,2020-05-04,2020-05-09,cum,51
COVIDhub-baseline,2020-05-11,2020-05-16,cum,51
COVIDhub-baseline,2020-05-18,2020-05-23,cum,51
COVIDhub-baseline,2020-05-25,2020-05-30,cum,51
COVIDhub-baseline,2020-06-01,2020-06-06,cum,51
COVIDhub-baseline,2020-06-08,2020-06-13,cum,51
COVIDhub-baseline,2020-06-15,2020-06-20,cum,51
COVIDhub-baseline,2020-06-22,2020-06-27,cum,51
COVIDhub-baseline,2020-06-29,2020-07-04,cum,51
